ID,Source,RA_ICRS,DE_ICRS,BP_RP,Gmag,Rad,BPmag,RPmag
79406,982431540841766912,116.01737035553002,50.43367672266,0.04456799999999994,5.341067,5.4202,5.295943,5.251375
20114,246890426876337280,58.99250823051,47.87132724861,-0.07873199999999958,5.345923,6.3835,5.306807,5.385539
49550,2001025095719170560,332.79222538642,50.82357353648,0.21232400000000062,5.352735,2.1555,5.4230480000000005,5.210724
28086,670326064263850624,118.91615543264,19.88378998762,-0.0199309999999997,5.358676,5.4353,5.344843,5.364774
28561,767158369693232384,172.26686535352002,39.33702673194,0.014015999999999806,5.359505,2.1522,5.358751,5.344735
70180,3538455231113495040,169.44616386020002,-22.14598224322,3.552860999999999,5.366137,122.0891,7.542180999999999,3.98932
80069,1278089775171112832,230.4521390587,32.93375458989,-0.06790600000000069,5.366265,2.2876,5.335242,5.403148000000001
79773,1139165175331616768,121.19537462772,79.4793912453,-0.038771000000000555,5.373844,2.9560000000000004,5.351183,5.389954
35290,1756148222519224192,308.48799252185,13.02738034098,0.08257100000000062,5.379509,2.2228,5.402548,5.319977
39120,1847482042098648832,321.91711442063,27.60868742613,0.04663800000000062,5.379911,1.9118,5.3894720000000005,5.342834
34353,1493793375056918016,219.70885000713,44.404420367940006,0.04142400000000013,5.383826999999999,1.9723,5.387093,5.345669
64086,2134604351047361920,286.22982658139,53.39675092071,-0.01737000000000055,5.394147,3.1717,5.381284,5.3986540000000005
26897,555179502886541824,50.08366448302999,77.73446502838,0.28819200000000045,5.397399,3.2087,5.505592,5.2174
80822,1425769751741972352,249.05708191785,52.924542063,-0.0764649999999989,5.401847,3.5373,5.3644620000000005,5.440926999999999
14979,418414069011230720,11.3213236408,55.22137253804,0.04629700000000003,5.411243,3.6191,5.411993,5.365696
28452,712942516481108992,134.23554291481,32.91013378101,0.2222299999999997,5.414233,2.2764,5.48835,5.26612
35252,1754631755466911360,309.45484189392005,11.377636970929998,0.05877199999999938,5.4185,1.9356,5.433475,5.374703
20497,248963242512513792,53.0359901177,48.02335249619001,-0.1062289999999999,5.425504,4.7713,5.389949,5.496178
81178,1643563042195991424,241.58156798648,67.81041603789001,-0.019525999999999932,5.42619,2.3052,5.409451,5.428977
94890,244122956108424576,57.51818282639,44.96772963314,0.9777380000000004,5.431451,7.8638,5.843115,4.865377
75221,2457106882592567936,21.71491675224,-13.05646836285,0.44650299999999987,5.4357,1.6695,5.594537,5.148034
